rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
127,frame_0395.jpg,158.0,0.441,0.5339,0.5,0.12,7,4,False,False
128,frame_0188.jpg,75.2,0.4405,0.565,0.5,0.04,9,4,False,False
129,frame_0025.jpg,10.0,0.4399,0.4047,0.125,1.0,2,1,False,False
130,frame_0230.jpg,92.0,0.4371,0.6762,0.25,0.12,9,2,False,False
131,frame_0273.jpg,109.2,0.4339,0.5948,0.375,0.12,8,3,False,False
132,frame_0319.jpg,127.6,0.4338,0.4556,0.5,0.28,10,4,False,False
133,frame_0095.jpg,38.0,0.4324,0.5757,0.375,0.16,8,3,False,False
134,frame_0191.jpg,76.4,0.4322,0.6504,0.25,0.16,2,2,False,False
135,frame_0371.jpg,148.4,0.4315,0.5311,0.5,0.08,8,4,False,False
136,frame_0228.jpg,91.2,0.4314,0.6218,0.375,0.04,4,3,False,False
137,frame_0370.jpg,148.0,0.431,0.621,0.375,0.04,8,3,False,False
138,frame_0097.jpg,38.8,0.4293,0.6016,0.375,0.08,6,3,False,False
139,frame_0333.jpg,133.2,0.4293,0.6016,0.375,0.08,10,3,False,False
140,frame_0399.jpg,159.6,0.4291,0.4462,0.5,0.28,9,4,False,False
141,frame_0089.jpg,35.6,0.4285,0.397,0.5,0.4,6,4,False,False
142,frame_0193.jpg,77.2,0.428,0.46,0.5,0.24,5,4,False,False
143,frame_0177.jpg,70.8,0.4256,0.5463,0.375,0.2,7,3,False,False
144,frame_0012.jpg,4.8,0.4225,0.295,0.25,1.0,5,2,False,False
145,frame_0275.jpg,110.0,0.416,0.6019,0.25,0.2,6,2,False,False
146,frame_0083.jpg,33.2,0.4157,0.3505,0.375,0.64,5,3,False,False
147,frame_0032.jpg,12.8,0.415,0.355,0.125,1.0,7,1,False,False
148,frame_0214.jpg,85.6,0.4125,0.467,0.25,0.52,3,2,False,False
149,frame_0205.jpg,82.0,0.4105,0.383,0.25,0.72,3,2,False,False
150,frame_0321.jpg,128.4,0.4072,0.5093,0.375,0.2,10,3,False,False
151,frame_0207.jpg,82.8,0.4031,0.3361,0.25,0.8,3,2,False,False
152,frame_0185.jpg,74.0,0.403,0.5489,0.375,0.08,6,3,False,False
153,frame_0295.jpg,118.0,0.4027,0.4583,0.125,0.68,6,1,False,False
154,frame_0196.jpg,78.4,0.4018,0.5847,0.125,0.36,2,1,False,False
155,frame_0027.jpg,10.8,0.3989,0.3228,0.125,1.0,4,1,False,False
156,frame_0087.jpg,34.8,0.3949,0.4478,0.25,0.48,5,2,False,False
157,frame_0023.jpg,9.2,0.3942,0.3135,0.125,1.0,4,1,False,False
158,frame_0098.jpg,39.2,0.3915,0.542,0.375,0.04,6,3,False,False
159,frame_0125.jpg,50.0,0.3914,0.4199,0.125,0.72,8,1,False,False
160,frame_0103.jpg,41.2,0.3911,0.4931,0.375,0.16,5,3,False,False
161,frame_0229.jpg,91.6,0.3906,0.5992,0.25,0.08,7,2,False,False
162,frame_0303.jpg,121.2,0.3903,0.4116,0.375,0.36,6,3,False,False
163,frame_0302.jpg,120.8,0.3894,0.4688,0.25,0.4,7,2,False,False
164,frame_0382.jpg,152.8,0.3876,0.5181,0.375,0.08,10,3,False,False
165,frame_0322.jpg,128.8,0.3865,0.409,0.5,0.16,8,4,False,False
166,frame_0300.jpg,120.0,0.3846,0.4272,0.25,0.48,6,2,False,False
167,frame_0301.jpg,120.4,0.3845,0.3679,0.375,0.44,8,3,False,False
168,frame_0307.jpg,122.8,0.384,0.4629,0.375,0.2,7,3,False,False
169,frame_0198.jpg,79.2,0.3825,0.514,0.125,0.44,1,1,False,False
170,frame_0192.jpg,76.8,0.3822,0.3844,0.5,0.2,5,4,False,False
171,frame_0081.jpg,32.4,0.3821,0.3263,0.25,0.72,5,2,False,False
172,frame_0203.jpg,81.2,0.3809,0.3557,0.25,0.64,3,2,False,False
173,frame_0206.jpg,82.4,0.3803,0.3815,0.125,0.76,3,1,False,False
174,frame_0233.jpg,93.2,0.3803,0.5897,0.125,0.24,7,1,False,False
175,frame_0080.jpg,32.0,0.3799,0.3808,0.125,0.76,7,1,False,False
176,frame_0013.jpg,5.2,0.3796,0.2842,0.125,1.0,4,1,False,False
177,frame_0211.jpg,84.4,0.3791,0.3523,0.25,0.64,3,2,False,False
178,frame_0388.jpg,155.2,0.3781,0.4672,0.375,0.16,8,3,False,False
179,frame_0121.jpg,48.4,0.3762,0.3785,0.25,0.56,5,2,False,False
180,frame_0199.jpg,79.6,0.3753,0.4836,0.125,0.48,1,1,False,False
181,frame_0311.jpg,124.4,0.3748,0.5836,0.25,0.04,3,2,False,False
182,frame_0208.jpg,83.2,0.3733,0.3676,0.125,0.76,5,1,False,False
183,frame_0373.jpg,149.2,0.3732,0.4574,0.375,0.16,5,3,False,False
184,frame_0316.jpg,126.4,0.3728,0.4565,0.375,0.16,10,3,False,False
185,frame_0315.jpg,126.0,0.3706,0.4682,0.375,0.12,8,3,False,False
186,frame_0218.jpg,87.2,0.3674,0.5157,0.125,0.36,3,1,False,False
187,frame_0320.jpg,128.0,0.3662,0.4864,0.25,0.24,8,2,False,False
188,frame_0308.jpg,123.2,0.3648,0.4406,0.375,0.16,5,3,False,False
189,frame_0282.jpg,112.8,0.3639,0.3858,0.25,0.48,6,2,False,False
190,frame_0101.jpg,40.4,0.3629,0.5438,0.25,0.08,3,2,False,False
191,frame_0222.jpg,88.8,0.3624,0.4198,0.375,0.2,7,3,False,False
192,frame_0084.jpg,33.6,0.3623,0.3346,0.25,0.6,8,2,False,False
193,frame_0213.jpg,85.2,0.3572,0.4153,0.125,0.56,3,1,False,False
194,frame_0179.jpg,71.6,0.3569,0.4408,0.375,0.12,5,3,False,False
195,frame_0019.jpg,7.6,0.3522,0.3044,0.0,1.0,6,0,False,False
196,frame_0171.jpg,68.4,0.3522,0.3784,0.25,0.44,4,2,False,False
197,frame_0309.jpg,123.6,0.3515,0.43,0.375,0.12,7,3,False,False
198,frame_0104.jpg,41.6,0.3505,0.5029,0.25,0.12,4,2,False,False
199,frame_0111.jpg,44.4,0.3488,0.4837,0.25,0.16,5,2,False,False
200,frame_0394.jpg,157.6,0.3461,0.5102,0.25,0.08,6,2,False,False
201,frame_0383.jpg,153.2,0.3451,0.4172,0.375,0.12,6,3,False,False
202,frame_0115.jpg,46.0,0.3429,0.4078,0.25,0.32,8,2,False,False
203,frame_0120.jpg,48.0,0.3409,0.3239,0.25,0.52,4,2,False,False
204,frame_0082.jpg,32.8,0.3364,0.3258,0.125,0.68,11,1,False,False
205,frame_0172.jpg,68.8,0.3347,0.3594,0.25,0.4,6,2,False,False
206,frame_0212.jpg,84.8,0.3328,0.3507,0.125,0.6,2,1,False,False
207,frame_0220.jpg,88.0,0.3317,0.4015,0.25,0.28,3,2,False,False
208,frame_0174.jpg,69.6,0.3313,0.3846,0.25,0.32,6,2,False,False
209,frame_0200.jpg,80.0,0.3313,0.3796,0.125,0.52,2,1,False,False
210,frame_0094.jpg,37.6,0.331,0.432,0.25,0.2,7,2,False,False
211,frame_0393.jpg,157.2,0.3281,0.4152,0.375,0.04,6,3,False,False
212,frame_0091.jpg,36.4,0.3279,0.3778,0.25,0.32,4,2,False,False
213,frame_0090.jpg,36.0,0.3267,0.4345,0.125,0.36,6,1,False,False
214,frame_0178.jpg,71.2,0.3259,0.4378,0.25,0.16,8,2,False,False
215,frame_0381.jpg,152.4,0.3257,0.4104,0.375,0.04,6,3,False,False
216,frame_0108.jpg,43.2,0.3246,0.5581,0.125,0.04,9,1,False,False
217,frame_0272.jpg,108.8,0.3175,0.3781,0.375,0.08,7,3,False,False
218,frame_0372.jpg,148.8,0.3165,0.435,0.25,0.12,6,2,False,False
219,frame_0117.jpg,46.8,0.3138,0.3926,0.125,0.4,6,1,False,False
220,frame_0086.jpg,34.4,0.3124,0.3417,0.125,0.52,7,1,False,False
221,frame_0096.jpg,38.4,0.3102,0.4973,0.125,0.12,7,1,False,False
222,frame_0112.jpg,44.8,0.3037,0.5274,0.0,0.2,6,0,False,False
223,frame_0324.jpg,129.6,0.2994,0.3419,0.375,0.08,8,3,False,False
224,frame_0323.jpg,129.2,0.2982,0.3984,0.25,0.12,6,2,False,False
225,frame_0281.jpg,112.4,0.2969,0.4179,0.0,0.44,5,0,False,False
226,frame_0204.jpg,81.6,0.2916,0.2362,0.125,0.68,3,1,False,False
227,frame_0085.jpg,34.0,0.2868,0.3495,0.0,0.56,4,0,False,False
228,frame_0180.jpg,72.0,0.2865,0.3909,0.25,0.08,6,2,False,False
229,frame_0226.jpg,90.4,0.2855,0.405,0.25,0.04,5,2,False,False
230,frame_0022.jpg,8.8,0.2843,0.1686,0.0,1.0,4,0,False,False
231,frame_0314.jpg,125.6,0.2818,0.4567,0.125,0.08,7,1,False,False
232,frame_0189.jpg,75.6,0.2811,0.4552,0.125,0.08,4,1,False,False
233,frame_0217.jpg,86.8,0.2811,0.2522,0.25,0.4,5,2,False,False
234,frame_0215.jpg,86.0,0.2807,0.2944,0.125,0.48,5,1,False,False
235,frame_0109.jpg,43.6,0.2783,0.4497,0.125,0.08,8,1,False,False
236,frame_0093.jpg,37.2,0.2729,0.2999,0.25,0.24,5,2,False,False
237,frame_0118.jpg,47.2,0.2722,0.2933,0.125,0.44,5,1,False,False
238,frame_0269.jpg,107.6,0.2713,0.5266,0.0,0.04,4,0,False,False
239,frame_0267.jpg,106.8,0.2665,0.41,0.125,0.12,7,1,False,False
240,frame_0310.jpg,124.0,0.2621,0.3422,0.25,0.08,9,2,False,False
241,frame_0119.jpg,47.6,0.2585,0.2499,0.125,0.48,5,1,False,False
242,frame_0271.jpg,108.4,0.2567,0.4224,0.125,0.04,6,1,False,False
243,frame_0102.jpg,40.8,0.2482,0.2984,0.25,0.12,7,2,False,False
244,frame_0268.jpg,107.2,0.2474,0.3128,0.25,0.08,5,2,False,False
245,frame_0219.jpg,87.6,0.2469,0.2907,0.125,0.32,5,1,False,False
246,frame_0223.jpg,89.2,0.2344,0.3297,0.125,0.16,8,1,False,False
247,frame_0197.jpg,78.8,0.2282,0.2213,0.125,0.4,2,1,False,False
248,frame_0092.jpg,36.8,0.2252,0.3384,0.0,0.28,5,0,False,False
249,frame_0190.jpg,76.0,0.225,0.327,0.125,0.12,4,1,False,False
250,frame_0181.jpg,72.4,0.2236,0.2811,0.25,0.04,6,2,False,False
251,frame_0100.jpg,40.0,0.2151,0.3392,0.125,0.04,6,1,False,False
252,frame_0313.jpg,125.2,0.2043,0.3175,0.125,0.04,4,1,False,False
253,frame_0224.jpg,89.6,0.2013,0.3546,0.0,0.12,6,0,False,False
254,frame_0221.jpg,88.4,0.1885,0.2061,0.125,0.24,3,1,False,False
255,frame_0325.jpg,130.0,0.1807,0.2704,0.125,0.04,8,1,False,False
256,frame_0110.jpg,44.0,0.1132,0.1785,0.0,0.12,7,0,False,False
